year,jday,tree.type,site,plot,nindivs,tag,spp,dbh,,ba [m^2]
2009,120,live,ems,A3,NA,61,ro,48.49,,0.058782003
2009,152,live,ems,A3,NA,61,ro,48.3,,0.05832225
2009,225,live,ems,A3,NA,61,ro,48.8,,0.059536
2009,335,live,ems,A3,NA,61,ro,48.87,,0.059706923
2009,120,live,ems,A3,NA,64,yb,14.07,,0.004949123
2009,152,live,ems,A3,NA,64,yb,14.08,,0.00495616
2009,225,live,ems,A3,NA,64,yb,14.11,,0.004977303
2009,335,live,ems,A3,NA,64,yb,14.11,,0.004977303
2009,120,live,ems,A3,NA,65,yb,14.8,,0.005476
2009,152,live,ems,A3,NA,65,yb,14.8,,0.005476
2009,225,live,ems,A3,NA,65,yb,14.81,,0.005483403
2009,335,live,ems,A3,NA,65,yb,14.82,,0.00549081
2009,120,live,ems,A3,NA,66,rm,27.69,,0.019168403
2009,152,live,ems,A3,NA,66,rm,27.88,,0.01943236
2009,225,live,ems,A3,NA,66,rm,28.23,,0.019923323
2009,335,live,ems,A3,NA,66,rm,28.38,,0.02013561
2009,120,live,ems,A3,NA,67,rm,12.57,,0.003950123
2009,152,live,ems,A3,NA,67,rm,12.57,,0.003950123
2009,225,live,ems,A3,NA,67,rm,12.58,,0.00395641
2009,335,live,ems,A3,NA,67,rm,12.59,,0.003962703
2009,120,live,ems,A3,NA,69,rm,12.74,,0.00405769
2009,152,live,ems,A3,NA,69,rm,12.74,,0.00405769
2009,225,live,ems,A3,NA,69,rm,12.79,,0.004089603
2009,335,live,ems,A3,NA,69,rm,12.77,,0.004076823
2009,120,live,ems,A3,NA,70,ro,43.3,,0.04687225
2009,152,live,ems,A3,NA,70,ro,43.39,,0.047067303
2009,225,live,ems,A3,NA,70,ro,43.45,,0.047197563
2009,335,live,ems,A3,NA,70,ro,43.48,,0.04726276
2009,120,live,ems,A3,NA,263,bb,10.16,,0.00258064
2009,152,live,ems,A3,NA,263,bb,10.17,,0.002585723
2009,225,live,ems,A3,NA,263,bb,10.2,,0.002601
2009,335,live,ems,A3,NA,263,bb,10.21,,0.002606103
2009,120,live,ems,B1,NA,152,rm,17.19,,0.007387403
2009,152,live,ems,B1,NA,152,rm,17.29,,0.007473603
2009,225,live,ems,B1,NA,152,rm,17.54,,0.00769129
2009,335,live,ems,B1,NA,152,rm,17.65,,0.007788063
2009,120,live,ems,B1,NA,153,ro,51.93,,0.067418123
2009,152,live,ems,B1,NA,153,ro,52.1,,0.06786025
2009,225,live,ems,B1,NA,153,ro,52.33,,0.068460723
2009,335,live,ems,B1,NA,153,ro,52.39,,0.068617803
